,epsilon_progress,nfe
0,0,0
1,9,100
2,46,1198
3,90,2292
4,140,3391
5,173,4479
6,214,5555
7,238,6590
8,245,7608
9,251,8638
10,259,9678
11,264,10710
12,269,11752
13,271,12799
14,277,13848
15,279,14897
16,281,15937
17,282,16984
18,283,18036
19,284,19101
20,284,20123
21,287,21173
22,288,22227
23,290,23281
24,290,24337
25,290,25380
26,290,26445
27,291,27507
28,291,28559
29,293,29621
30,293,30679
31,293,31753
32,294,32822
33,295,33884
34,295,34942
35,295,36001
36,297,37062
37,297,38122
38,297,39176
39,297,40082
0,0,0
1,6,100
2,43,1198
3,82,2291
4,139,3385
5,195,4478
6,242,5565
7,285,6629
8,303,7647
9,306,8667
10,311,9695
11,313,10732
12,315,11765
13,318,12802
14,323,13852
15,330,14902
16,331,15954
17,336,17000
18,338,18056
19,338,19113
20,340,20187
21,340,21289
22,341,22387
23,341,23485
24,341,24597
25,343,25694
26,343,26801
27,345,27904
28,346,29006
29,346,30103
30,346,31192
31,347,32288
32,347,33408
33,347,34517
34,347,35629
35,347,36749
36,347,37848
37,347,38967
38,347,40096
0,0,0
1,9,100
2,47,1196
3,88,2294
4,143,3390
5,203,4483
6,254,5564
7,271,6601
8,275,7618
9,277,8663
10,279,9697
11,279,10721
12,280,11764
13,283,12778
14,283,13815
15,284,14842
16,286,15888
17,288,16942
18,295,17977
19,295,19030
20,298,20032
21,300,21100
22,300,22160
23,302,23235
24,302,24305
25,303,25386
26,304,26463
27,304,27517
28,304,28580
29,304,29631
30,304,30692
31,304,31737
32,304,32795
33,304,33863
34,304,34918
35,304,35955
36,304,37001
37,304,38064
38,304,39125
39,304,40046
0,0,0
1,13,100
2,48,1195
3,102,2293
4,174,3382
5,248,4474
6,294,5564
7,331,6608
8,347,7649
9,356,8680
10,366,9710
11,385,10817
12,394,11893
13,396,12971
14,396,14048
15,397,15102
16,399,16181
17,399,17249
18,400,18323
19,401,19387
20,402,20461
21,402,21539
22,402,22591
23,403,23677
24,403,24759
25,403,25833
26,403,26907
27,403,27979
28,403,29057
29,403,30102
30,403,31181
31,404,32259
32,404,33337
33,404,34408
34,404,35490
35,404,36537
36,404,37612
37,404,38666
38,404,39746
39,404,40061
0,0,0
1,12,100
2,51,1196
3,103,2295
4,154,3392
5,216,4488
6,287,5573
7,331,6645
8,351,7692
9,369,8724
10,380,9767
11,393,10801
12,395,11816
13,395,12974
14,395,13981
15,396,15144
16,396,16294
17,396,17450
18,396,18583
19,396,19750
20,398,20753
21,398,21912
22,398,23069
23,398,24210
24,399,25368
25,401,26371
26,401,27538
27,401,28546
28,401,29696
29,401,30709
30,401,31878
31,402,32887
32,403,33913
33,403,34924
34,403,35928
35,403,36935
36,403,37946
37,403,38964
38,403,39998
39,403,40171
