,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12628168.755498253,0.0006096230760311014,12586457.998778107,51624173.705608465,0.004166521652671419
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,14261651.781499248,38996004.95011021,0.0035568985766403173
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,75531784.31862903,0.0032396507371994163,9695195.36216505,114527789.26873924,0.0067965493138397335
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23794907.285671335,0.0011103076844174297,11068771.68625446,62790912.23578155,0.004667206261057747
4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2890642.3965984774,0.00014809437114386055,69998865.86767298,26181912.878954325,0.002003135399188291
5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0,0.0,135241031.92249656,5820400.441565354,0.0005045801300717289
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,8,0,0,3,0,0,0.0,0.0,142273047.1775213,0.0,0.0
7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0,0.0,71846130.82833463,23291270.482355848,0.0018550410280444305
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0.0,0.0,34560939.408819936,34791041.85025135,0.0028639186967054303
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,46956552.87566118,31035878.238193683,0.0030405675561858848
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,187381632.11753753,0.007512734654353347,6320800.309666242,226377637.06764776,0.011069633230993664
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231451242.0208078,0.008790347235561139,0.0,270447246.970918,0.012347245812201455
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,124749756.93790472,0.00519477662226645,8453407.696608048,163745761.8880149,0.008751675198906766
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0.0,0.0,67255840.50298187,26830915.13833482,0.002347587676250998
14,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0,0.0,102546130.82833463,13780527.153481882,0.0010209111505261614
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,1,0,0,4782202.36863475,0.0002478521778742842,97843275.44675772,18712207.24391755,0.0012938482303082666
16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,13278324.070005618,0.0006614189789724125,75704161.29759659,21238450.781922147,0.001177749999426845
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,1,0,0,4801490.507821724,0.0002493888054507333,102416569.16649146,12761617.21973825,0.0007657198259051659
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0.0,0.0,132385441.5015813,5969878.163366276,0.0005296650319795498
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0.0,0.0,99690540.40741937,13930004.875282802,0.0010459960524339823
20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,8,0,0,3,0,0,0.0,0.0,109578146.08335936,7960126.711916527,0.0005163310204544325
21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,7,0,0,2,0,0,4814204.007664749,0.00025040165144186814,137652486.1421349,4814204.007664749,0.00025040165144186814
